"FECHA";"CENTRO";"ALMACÉN";"PRODUCTO";"FECHA_CADUCIDAD";"CANTIDAD"
2024-11-28;"7711";"1001";"16372";2024-12-14;39
2024-11-28;"7711";"1001";"16372";2024-12-06;128
2024-11-28;"7711";"1001";"16374";2024-12-14;53
2024-11-28;"7711";"1001";"16374";2024-12-06;137
2024-11-28;"7711";"1001";"16530";2024-12-02;16
2024-11-28;"7711";"1001";"16530";2024-12-15;1354
2024-11-28;"7711";"1001";"16679";2024-12-05;16
2024-11-28;"7711";"1001";"17036";2024-12-13;51
2024-11-28;"7711";"1001";"17113";2024-12-12;16
2024-11-28;"7711";"1001";"17114";2024-12-14;7
2024-11-28;"7711";"1001";"17115";2024-12-14;22
2024-11-28;"7711";"1001";"17116";2024-12-14;85
2024-11-28;"7711";"1001";"17117";2024-12-13;96
2024-11-28;"7711";"1001";"2123";2024-12-08;102
2024-11-28;"7711";"1001";"2123";2024-12-15;87
2024-11-28;"7711";"1001";"2123";2024-12-14;69
2024-11-28;"7711";"1001";"4013";2024-12-08;12
2024-11-28;"7711";"1001";"4133";2024-12-13;10
2024-11-28;"7711";"1001";"4162";2024-12-14;132
2024-11-28;"7711";"1001";"4162";2024-12-13;151
2024-11-28;"7711";"1001";"4247";2024-12-05;9
2024-11-28;"7711";"1001";"4247";2024-12-14;101
2024-11-28;"7711";"1001";"4889";2024-12-14;18
2024-11-28;"7711";"1001";"4895";2024-12-06;51
2024-11-28;"7711";"1001";"4921";2024-12-18;110
2024-11-28;"7711";"1001";"4921";2024-12-14;73
2024-11-28;"7711";"1001";"4921";2024-12-13;155
2024-11-28;"7711";"1001";"4923";2024-12-09;56
2024-11-28;"7711";"1001";"4923";2024-12-06;78
2024-11-28;"7711";"1001";"5244";2024-12-14;6
2024-11-28;"7711";"1001";"5275";2024-12-06;53
2024-11-28;"7711";"1001";"5701";2024-12-13;64
2024-11-28;"7711";"1001";"5703";2024-12-18;81
2024-11-28;"7711";"1001";"5709";2024-12-13;16
2024-11-28;"7711";"1001";"5730";2024-12-15;1
2024-11-28;"7711";"1001";"5730";2024-12-18;10
2024-11-28;"7711";"1001";"5735";2024-12-14;1
2024-11-28;"7711";"1001";"5746";2024-12-13;20
2024-11-28;"7711";"1001";"6219239";2024-12-06;91
2024-11-28;"7711";"1001";"8656";2024-12-12;3
2024-11-28;"7711";"1001";"9088";2024-12-05;5
2024-11-28;"7711";"1001";"9088";2024-12-15;8
2024-11-28;"7711";"1001";"5726";2024-12-18;63
2024-11-28;"7711";"1001";"10653";2024-12-12;7
2024-11-28;"7711";"1001";"10654";2024-12-15;420
2024-11-28;"7711";"1001";"1224";2024-12-05;11
2024-11-28;"7711";"1001";"17262";2024-12-09;287
2024-11-28;"7711";"1001";"16495";2024-12-11;2
2024-11-28;"7711";"1001";"16495";2024-12-18;20
2024-11-28;"7711";"1001";"17052";2024-12-11;90
2024-11-28;"7711";"1001";"5748";2024-12-18;68
